CUIT;EMPRESA;MODALIDAD;ORIGEN;DESTINO;TARIFA RG 41/25
33709063559;CANELLO HNOS S.R.L;REG-DIFERENCIAL;DESPENADEROS;CORDOBA;8258.3
33709063559;CANELLO HNOS S.R.L;REG-DIFERENCIAL;DESPENADEROS;RAFAEL GARCIA;6403.95
33709063559;CANELLO HNOS S.R.L;REG-DIFERENCIAL;RAFAEL GARCIA;CORDOBA;6403.95
33709063559;CANELLO HNOS S.R.L;REG-COMUN;SAN BARTOLOME;LA FRANCIA;6167.0
30546335557;COTA LA CALERA LTDA;REGULAR;ARENALES;ARENALES;1522.29
30546335557;COTA LA CALERA LTDA;REGULAR;ARENALES;MALVINAS ARG.;1522.29
30546335557;COTA LA CALERA LTDA;REGULAR;ARGUELLO;ARGUELLO;2529.54
30546335557;COTA LA CALERA LTDA;REGULAR;ARGUELLO;LA CALERA;3213.73
30546335557;COTA LA CALERA LTDA;REGULAR;ARGUELLO;RIVERA PRIMERONDARTE;2529.54
30546335557;COTA LA CALERA LTDA;REGULAR;ARGUELLO;SALDAN;2706.3
30546335557;COTA LA CALERA LTDA;REGULAR;BIALET MASSE;CASA GRANDE;3044.58
30546335557;COTA LA CALERA LTDA;REGULAR;BIALET MASSE;COSQUIN;2114.29
30546335557;COTA LA CALERA LTDA;REGULAR;BIALET MASSE;EL RETIRO;3044.58
30546335557;COTA LA CALERA LTDA;REGULAR;BIALET MASSE;LA FALDA;4228.59
30546335557;COTA LA CALERA LTDA;REGULAR;BIALET MASSE;MOLINARI;2529.54
30546335557;COTA LA CALERA LTDA;REGULAR;BIALET MASSE;SANTA MARIA;2107.53
30546335557;COTA LA CALERA LTDA;REGULAR;BIALET MASSE;VALLE HERMOSO;4215.9
30546335557;COTA LA CALERA LTDA;REGULAR;BIALET MASSE;VILLA BUSTOS;2107.53
30546335557;COTA LA CALERA LTDA;REGULAR;BIALET MASSE;VILLA CAEIRO;2107.53
30546335557;COTA LA CALERA LTDA;REGULAR;BIALET MASSE;VILLA YACOANA;3793.89
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;BIALET MASSE;3044.58
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;CASA GRANDE;4736.02
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;CLUB DE PESCA;2107.53
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;COSQUIN;3636.59
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;EL RETIRO;4736.02
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;LA FALDA;6596.6
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;MOLINARI;4228.59
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;MONOLITO;2107.53
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;PAREDON;2107.53
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;SANTA MARIA;3213.73
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;USINA MOLLET;2107.53
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;VALLE HERMOSO;6323.43
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;VILLA BUSTOS;3213.73
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;VILLA CAEIRO;3044.58
30546335557;COTA LA CALERA LTDA;REGULAR;BOCA SEGUNDO;VILLA YACOANA;5581.74
30546335557;COTA LA CALERA LTDA;REGULAR;CASA GRANDE;LA FALDA;2114.29
30546335557;COTA LA CALERA LTDA;REGULAR;CASA GRANDE;VALLE HERMOSO;2114.29
30546335557;COTA LA CALERA LTDA;REGULAR;CASA GRANDE;VILLA YACOANA;2107.53
30546335557;COTA LA CALERA LTDA;REGULAR;CLUB DE PESCA;BIALET MASSE;2107.53
30546335557;COTA LA CALERA LTDA;REGULAR;CLUB DE PESCA;CASA GRANDE;3793.89
30546335557;COTA LA CALERA LTDA;REGULAR;CLUB DE PESCA;COSQUIN;3044.58
30546335557;COTA LA CALERA LTDA;REGULAR;CLUB DE PESCA;EL RETIRO;3793.89
30546335557;COTA LA CALERA LTDA;REGULAR;CLUB DE PESCA;LA FALDA;5581.74
30546335557;COTA LA CALERA LTDA;REGULAR;CLUB DE PESCA;MOLINARI;3213.73
30546335557;COTA LA CALERA LTDA;REGULAR;CLUB DE PESCA;MONOLITO;2107.53
30546335557;COTA LA CALERA LTDA;REGULAR;CLUB DE PESCA;SANTA MARIA;2198.87
30546335557;COTA LA CALERA LTDA;REGULAR;CLUB DE PESCA;VALLE HERMOSO;5074.31
30546335557;COTA LA CALERA LTDA;REGULAR;CLUB DE PESCA;VILLA BUSTOS;2198.87
30546335557;COTA LA CALERA LTDA;REGULAR;CLUB DE PESCA;VILLA CAEIRO;2107.53
30546335557;COTA LA CALERA LTDA;REGULAR;CLUB DE PESCA;VILLA YACOANA;4736.02
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;ARENALES;2529.54
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;ARGUELLO;2529.54
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;BIALET MASSE;7166.61
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;BOCA SEGUNDO;4651.45
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;CASA GRANDE;9133.75
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;CLUB DE PESCA;6323.43
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;CORDOBA;2529.54
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;COSQUIN;8639.01
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;CUARTELES;2529.54
30546335557;COTA LA CALERA LTDA;REGULAR DIFERENCIAL;CORDOBA;CUARTELES;3236.33
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;EL RETIRO;9133.75
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;LA CALERA;4228.59
30546335557;COTA LA CALERA LTDA;REGULAR DIFERENCIAL;CORDOBA;LA CALERA;4482.3
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;LA FALDA;11332.62
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;MALVINAS ARG.;2529.54
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;MOLINARI;8710.89
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;MONOLITO;6323.43
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;PAREDON;5581.74
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;PASARELA;4651.45
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;RIVERA PRIMERONDARTE;2529.54
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;SALDAN;3213.73
30546335557;COTA LA CALERA LTDA;REGULAR;CORDOBA;SANCOR;2529.54
